airport,Unnamed: 0,num_delays,lat,long
ABI,1,1015,32.409444,-99.679722
ACT,6,985,31.611389,-97.228611
AMA,18,3512,35.227222,-101.721944
AUS,26,46001,30.194444,-97.67
BPT,49,491,29.950833,-94.02
BRO,53,1463,25.906389,-97.425556
CLL,75,1232,30.589444,-96.364444
CRP,85,3627,27.77,-97.500833
DAL,92,55211,32.846944,-96.853333
DFW,99,214376,32.894444,-97.029722
DRT,105,170,29.374167,-100.927222
EFD,113,0,29.607222,-95.158611
ELP,117,12795,31.806667,-106.377222
GGG,143,418,32.386667,-94.715278
GRK,149,1943,31.064722,-97.8275
HOU,164,45843,29.645,-95.278611
HRL,166,2691,26.228056,-97.652222
IAH,174,114801,29.983333,-95.34
LBB,203,4944,33.662222,-101.822778
LRD,216,1605,27.544722,-99.461111
MAF,221,6378,31.940833,-102.201389
MFE,229,3294,26.176944,-98.239722
SAT,314,29870,29.533333,-98.469444
SJT,333,975,31.359722,-100.494444
SPS,341,615,33.988333,-98.491944
TYR,364,709,32.354722,-95.398889
VCT,369,10,28.851111,-96.914444
